candidate sequence ID	candidate nucleotide count	errors	template ID	BLAST percent identity to template	candidate nucleotide count post-NAST
102017 2-F4_S160_L001_R1_001_2793773	440		297872	96.80	440
102049 2-E8_S152_L001_R1_001_1902866	447		639310	91.50	447
102471 1-D3_S39_L001_R1_001_43663	444		303937	95.90	444
1029949 1-F4_S64_L001_R1_001_3934715	440		174974	97.50	440
1035392 2-F11_S167_L001_R1_001_21661	443		301630	94.40	443
1035532 2-A4_S100_L001_R1_001_481882	461		246308	88.50	461
1036749 2-G3_S171_L001_R1_001_1976506	465		258882	95.70	465
1040889 2-F11_S167_L001_R1_001_2668	440		216888	95.50	440
1046997 1-G10_S82_L001_R1_001_2392132	465		715138	94.40	465
1047041 1-D3_S39_L001_R1_001_63456	445		4363681	92.80	445
1048420 1-H5_S89_L001_R1_001_3732979	465		4399328	94.00	465
105287 1-E7_S55_L001_R1_001_754866	440		196844	91.80	440
105440 1-D5_S41_L001_R1_001_1274703	440		193666	96.10	440
1057278 2-B1_S109_L001_R1_001_3869724	440		216888	94.50	440
1059655 1-C11_S35_L001_R1_001_4648428	465		4399328	95.10	465
1059729 1-G5_S77_L001_R1_001_1294741	465		4344832	92.30	465
1062061 1-A11_S11_L001_R1_001_1019844	442		325539	94.30	442
1068836 1-B7_S19_L001_R1_001_3395950	439		186578	95.40	439
107044 2-B12_S120_L001_R1_001_150690	460		529442	92.80	460
1074210 2-B11_S119_L001_R1_001_4196355	465		258882	94.60	465
1076587 2-F11_S167_L001_R1_001_1531	440		193666	94.80	440
1076818 1-H10_S94_L001_R1_001_1662735	441		197460	88.40	441
1076969 2-C11_S131_L001_R1_001_3650788	465		1523543	94.00	465
1077373 2-E9_S153_L001_R1_001_569013	458		192222	90.60	458
1078207 1-F11_S71_L001_R1_001_2074178	465		4399328	94.60	465
1082294 2-F11_S167_L001_R1_001_26311	465		4399328	95.50	465
1082539 2-F11_S167_L001_R1_001_2157	465		316765	92.70	465
108429 1-B1_S13_L001_R1_001_1621988	439		293471	92.50	439
1084865 2-F3_S159_L001_R1_001_1156099	465		773586	90.80	465
1085832 1-A11_S11_L001_R1_001_1015200	465		316765	91.80	465
1086889 1-B4_S16_L001_R1_001_4697423	440		259604	99.10	440
1089121 2-A7_S103_L001_R1_001_338734	457		4427000	90.60	457
1090458 1-G5_S77_L001_R1_001_1304423	438		4141532	94.70	438
1094991 2-H4_S184_L001_R1_001_1841366	443		4367232	92.30	443
109703 2-F4_S160_L001_R1_001_2781094	443		337993	96.20	443
110192 1-G4_S76_L001_R1_001_1529910	443		263546	96.80	443
110296 2-E11_S155_L001_R1_001_431737	443		224379	93.70	443
110457 1-G5_S77_L001_R1_001_1304797	440		183107	96.40	440
1104638 2-B12_S120_L001_R1_001_126678	465		289174	95.10	465
1104908 1-H11_S95_L001_R1_001_1504851	441		293471	94.80	441
1104936 2-A4_S100_L001_R1_001_463999	465		289174	94.80	465
1104963 1-B10_S22_L001_R1_001_1127568	440		530061	96.80	440
1105328 2-B12_S120_L001_R1_001_133512	440		3931706	94.10	440
1105343 1-E1_S49_L001_R1_001_3918824	443		199568	98.40	443
1105552 1-F5_S65_L001_R1_001_64212	441		183107	94.80	441
1105876 2-E11_S155_L001_R1_001_430336	464		215040	91.80	464
1106861 2-D5_S137_L001_R1_001_30337	441		297872	97.10	441
1107057 1-G11_S83_L001_R1_001_386727	440		195674	97.70	440
1107473 1-G11_S83_L001_R1_001_393539	442		668513	91.20	442
1108679 2-B12_S120_L001_R1_001_138614	196	No search results.
1109247 1-F6_S66_L001_R1_001_119070	465		289174	95.10	465
1110135 1-G8_S80_L001_R1_001_220833	440		512191	96.10	440
1110312 2-G10_S178_L001_R1_001_198484	441		159007	98.40	441
1110988 1-G11_S83_L001_R1_001_387660	439		287907	96.60	439
1111191 2-G10_S178_L001_R1_001_181754	440		261016	97.50	440
1111294 2-B12_S120_L001_R1_001_126292	465		289174	95.30	465
111364 2-H11_S191_L001_R1_001_3278729	443		224379	94.10	443
1121530 1-A10_S10_L001_R1_001_2989177	465		518033	91.80	465
1124080 1-E12_S60_L001_R1_001_2188029	459		1124080	99.60	459
112718 2-A10_S106_L001_R1_001_4477704	442		4453725	93.90	442
112720 2-G3_S171_L001_R1_001_1976101	456		2594571	90.80	456
112842 1-D3_S39_L001_R1_001_53865	459		4333921	99.80	459
112891 1-G12_S84_L001_R1_001_2726399	465		4358761	92.00	465
1129971 2-E9_S153_L001_R1_001_554875	439		289730	97.70	439
113003 2-F11_S167_L001_R1_001_16339	440		174924	94.50	440
113397 2-F10_S166_L001_R1_001_1399525	441		148219	90.90	441
1135084 2-H7_S187_L001_R1_001_244312	460		183870	94.80	460
113542 1-C12_S36_L001_R1_001_4009829	466		4413256	96.10	466
1136109 2-E4_S148_L001_R1_001_734456	166	No search results.
1136387 2-F8_S164_L001_R1_001_1723665	445		298198	87.90	445
1137031 2-E9_S153_L001_R1_001_556800	465		518033	94.00	465
1141218 2-F11_S167_L001_R1_001_18497	440		589920	92.50	440
114510 2-E3_S147_L001_R1_001_686559	465		289174	95.50	465
1146771 1-H11_S95_L001_R1_001_1494024	443		4426850	92.10	443
115149 1-H4_S88_L001_R1_001_4723344	440		193666	98.60	440
121873 1-C1_S25_L001_R1_001_2284521	466		305127	91.60	466
124906 1-F10_S70_L001_R1_001_4420591	465		169933	91.20	465
125270 2-F5_S161_L001_R1_001_3980096	460		183870	94.10	460
129401 1-F12_S72_L001_R1_001_1334731	443		263546	93.50	443
130402 1-H3_S87_L001_R1_001_593952	439		4434334	99.30	439
130864 1-G12_S84_L001_R1_001_2719972	465		1668820	93.30	465
131571 1-G11_S83_L001_R1_001_372158	440		193666	96.80	440
134265 2-H5_S185_L001_R1_001_1775295	460		134265	99.10	460
136044 2-F5_S161_L001_R1_001_3980501	440		183107	96.10	440
136127 1-E9_S57_L001_R1_001_1868301	440		589920	91.40	440
137183 2-G11_S179_L001_R1_001_3519695	447		639310	88.40	447
137353 2-F5_S161_L001_R1_001_3979408	439		197460	93.40	439
13811 1-C3_S27_L001_R1_001_1107761	465		817699	93.30	465
13995 2-H11_S191_L001_R1_001_3277780	440		193666	96.60	440
14205 1-G5_S77_L001_R1_001_1296800	438		4434334	99.50	438
145304 2-A7_S103_L001_R1_001_324325	443		4466135	93.20	443
145765 2-D8_S140_L001_R1_001_3100458	442		297872	96.40	442
145801 2-C12_S132_L001_R1_001_4171103	464		4465473	98.30	464
145856 2-G11_S179_L001_R1_001_3526397	441		327927	95.50	441
145883 2-F9_S165_L001_R1_001_3667317	443		325539	93.20	443
146212 1-G1_S73_L001_R1_001_3297475	443		224379	90.30	443
147085 2-B10_S118_L001_R1_001_2835994	440		184661	96.60	440
147100 2-A2_S98_L001_R1_001_710139	439		157382	90.90	439
148121 2-G4_S172_L001_R1_001_3072054	439		183051	95.00	439
148925 2-B12_S120_L001_R1_001_144002	440		186578	96.60	440
149188 1-F5_S65_L001_R1_001_69635	439		303574	92.00	439
149335 1-D3_S39_L001_R1_001_57456	465		817699	93.30	465
150477 1-H7_S91_L001_R1_001_4453348	424		153647	96.50	424
151623 1-D3_S39_L001_R1_001_52523	465		4456252	91.40	465
1521321 1-H7_S91_L001_R1_001_4469614	440		216888	95.70	440
1530340 1-G4_S76_L001_R1_001_1530037	460		529442	92.80	460
1544606 1-C1_S25_L001_R1_001_2294712	440		216888	96.10	440
1551174 1-D3_S39_L001_R1_001_59365	440		216888	95.00	440
157054 1-F11_S71_L001_R1_001_2051969	440		157054	97.30	440
157238 2-A1_S97_L001_R1_001_1183359	441		159007	98.00	441
157327 1-D5_S41_L001_R1_001_1277750	460		4348122	93.90	460
157338 2-F1_S157_L001_R1_001_2092071	440		159007	95.70	440
157470 1-C12_S36_L001_R1_001_4001449	439		216888	95.00	439
157573 1-G11_S83_L001_R1_001_393323	460		529442	92.20	460
157748 1-C2_S26_L001_R1_001_4300749	460		183870	98.70	460
157772 1-D10_S46_L001_R1_001_4079303	443		263546	94.80	443
158309 2-F10_S166_L001_R1_001_1409322	440		195674	97.30	440
158393 1-F1_S61_L001_R1_001_1441687	460		183870	99.80	460
158404 1-A2_S2_L001_R1_001_1964230	441		158404	98.40	441
158458 1-F5_S65_L001_R1_001_70695	442		293471	91.00	442
158563 2-D8_S140_L001_R1_001_3096584	439		3931706	94.10	439
1599042 2-H7_S187_L001_R1_001_251643	443		312619	92.30	443
1600780 2-A4_S100_L001_R1_001_461280	440		216888	96.40	440
1602307 2-B5_S113_L001_R1_001_1213629	465		4358761	94.00	465
1602314 2-H9_S189_L001_R1_001_3283798	440		294709	93.20	440
1604555 2-E4_S148_L001_R1_001_740210	460		183870	93.30	460
16054 2-F10_S166_L001_R1_001_1405349	440		287907	94.50	440
160548 2-F3_S159_L001_R1_001_1142785	465		4413327	96.10	465
1606937 2-D3_S135_L001_R1_001_155806	460		592832	86.70	460
